Name,campaignId,companyName,AdExtension_Type,id,source,phoneNumber,address,iconMediaId,id,email,shouldSyncUrl,iconMediaId,AdExtension_Type,phoneNumber,isCallOnly,AdExtension_Type,countryCode,id,id,sitelinks,AdExtension_Type,network,Stats_Type
"Nashua, NH",44999081,AlphaGraphics Nashua,LocationExtension,9419471,ADWORDS_FRONTEND,1 (888) 235-1734,"97 Main Street, Nashua, NH, US, 03060",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
"Nashua, NH",44999081,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 235-1734,false,MobileExtension,US,17721701,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
"Nashua, NH",44999081,Alpha Graphics,LocationExtension,17953271,ADWORDS_FRONTEND,(888) 235-1734,"97 Main St, Nashua, NH, US, 03060",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
"Nashua, NH",44999171,AlphaGraphics Nashua,LocationExtension,9419561,ADWORDS_FRONTEND,1 (888) 235-1734,"97 Main Street, Nashua, NH, US, 03060",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
"Nashua, NH",44999171,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 235-1734,false,MobileExtension,US,17721791,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
"Nashua, NH",44999171,Alpha Graphics,LocationExtension,17953361,ADWORDS_FRONTEND,(888) 235-1734,"97 Main St, Nashua, NH, US, 03060",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Brandon,68253302,AlphaGrahics Brandon,LocationExtension,482095142,ADWORDS_FRONTEND,(888) 305-7238,"2732 Broadway Center Blvd, Brandon, FL, US, 33510",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Brandon,68253302,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 305-7238,true,MobileExtension,US,482095262,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Brandon,68253302,AlphaGrahics Brandon,LocationExtension,491054102,ADWORDS_FRONTEND,(888) 305-7238,"2119 W Brandon Blvd, Brandon, FL, US, 33511",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Brandon,68253302,AlphaGrahics Brandon,LocationExtension,491054342,ADWORDS_FRONTEND,(888) 305-7238,"2119 W Brandon Blvd, Brandon, FL, US, 33511",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Brandon,68253422,AlphaGrahics Brandon,LocationExtension,482095142,ADWORDS_FRONTEND,(888) 305-7238,"2732 Broadway Center Blvd, Brandon, FL, US, 33510",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Brandon,68253422,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 305-7238,true,MobileExtension,US,482095262,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Brandon,68253422,AlphaGrahics Brandon,LocationExtension,491054102,ADWORDS_FRONTEND,(888) 305-7238,"2119 W Brandon Blvd, Brandon, FL, US, 33511",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Chicagoland - Wood Dale,191846986,AlphaGraphics Wood Dale,LocationExtension,39532906,ADWORDS_FRONTEND,(888) 425-2097,"360 Georgetown Square, Wood Dale, IL, US, 60191",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Chicagoland - Wood Dale,191846986,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 425-2097,true,MobileExtension,US,53874106,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Chicagoland - Wood Dale,191847106,AlphaGraphics Wood Dale,LocationExtension,39532906,ADWORDS_FRONTEND,(888) 425-2097,"360 Georgetown Square, Wood Dale, IL, US, 60191",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Chicagoland - Wood Dale,191847106,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 425-2097,true,MobileExtension,US,53874106,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Las Vegas,47158047,AlphaGraphics Las Vegas,LocationExtension,420147,ADWORDS_FRONTEND,1 (866) 418-2070,"6290 South Pecos Road, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,47158047,Alpha Graphics,LocationExtension,1841787,ADWORDS_FRONTEND,(866) 418-2070,"6290 South Pecos Rd, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,47158047,Alpha Graphics,LocationExtension,1842147,ADWORDS_FRONTEND,(866) 418-2070,"6290 South Pecos Rd, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,47158047,Alpha Graphics,LocationExtension,6789987,ADWORDS_FRONTEND,(866) 418-2070,"6290 S Pecos Rd, Las Vegas, NV, US",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,47158047,Alpha Graphics,LocationExtension,40090227,ADWORDS_FRONTEND,(866) 418-2070,"6290 S Pecos Rd Suite 300, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,47158047,Alpha Graphics,LocationExtension,40090707,ADWORDS_FRONTEND,(866) 418-2070,"6290 South Pecos Rd, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,47158047,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(866) 418-2070,true,MobileExtension,US,40091187,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Las Vegas,47158137,AlphaGraphics Las Vegas,LocationExtension,419877,ADWORDS_FRONTEND,1 (866) 418-2070,"6290 South Pecos Rd., Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,47158137,Alpha Graphics,LocationExtension,1841697,ADWORDS_FRONTEND,(866) 418-2070,"6290 South Pecos Rd, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,47158137,Alpha Graphics,LocationExtension,6789867,ADWORDS_FRONTEND,(866) 418-2070,"6290 S Pecos Rd, Las Vegas, NV, US",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,47158137,Alpha Graphics,LocationExtension,40090347,ADWORDS_FRONTEND,(866) 418-2070,"6290 S Pecos Rd Suite 300, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,47158137,Alpha Graphics,LocationExtension,40090827,ADWORDS_FRONTEND,(866) 418-2070,"6290 South Pecos Rd, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,47158137,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(866) 418-2070,true,MobileExtension,US,40091187,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Las Vegas,48615957,AlphaGraphics Las Vegas,LocationExtension,419967,ADWORDS_FRONTEND,1 (866) 418-2070,"6290 South Pecos Road, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,48615957,Alpha Graphics,LocationExtension,1841607,ADWORDS_FRONTEND,(866) 418-2070,"6290 South Pecos Rd, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,48615957,Alpha Graphics,LocationExtension,6789747,ADWORDS_FRONTEND,(866) 418-2070,"6290 S Pecos Rd, Las Vegas, NV, US",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,48615957,Alpha Graphics,LocationExtension,40090587,ADWORDS_FRONTEND,(866) 418-2070,"6290 S Pecos Rd, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,48615957,Alpha Graphics,LocationExtension,40090947,ADWORDS_FRONTEND,(866) 418-2070,"6290 South Pecos Rd, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,48615957,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(866) 418-2070,true,MobileExtension,US,40091187,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Las Vegas,48678057,AlphaGraphics Las Vegas,LocationExtension,420057,ADWORDS_FRONTEND,1 (866) 418-2070,"6290 South Pecos Road, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,48678057,Alpha Graphics,LocationExtension,1842417,ADWORDS_FRONTEND,(866) 418-2070,"6290 South Pecos Rd, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,48678057,Alpha Graphics,LocationExtension,6789627,ADWORDS_FRONTEND,(866) 418-2070,"6290 S Pecos Rd, Las Vegas, NV, US",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,48678057,Alpha Graphics,LocationExtension,40091067,ADWORDS_FRONTEND,(866) 418-2070,"6290 South Pecos Rd, Las Vegas, NV, US, 89120",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Las Vegas,48678057,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(866) 418-2070,true,MobileExtension,US,40091187,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Modesto,74656196,AlphaGraphics Modesto,LocationExtension,27270236,ADWORDS_FRONTEND,(888) 423-9280,"2900 Standiford Ave., Modesto, CA, US, 95350",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Modesto,74656196,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 423-9280,true,MobileExtension,US,120847436,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Modesto,74656316,AlphaGraphics Modesto,LocationExtension,27269996,ADWORDS_FRONTEND,(888) 423-9280,"2900 Standiford Ave., Modesto, CA, US, 95350",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Modesto,74656316,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 423-9280,true,MobileExtension,US,120847436,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Summit/New Providence,64978539,AlphaGraphics Summit/New Providence,LocationExtension,15838899,ADWORDS_FRONTEND,(888) 870-1792,"558 Central Ave, New Providence, NJ, US, 07974",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Summit/New Providence,64978659,AlphaGraphics Summit/New Providence,LocationExtension,15839499,ADWORDS_FRONTEND,(888) 870-1792,"558 Central Ave, New Providence, NJ, US, 07974",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Stamford,73842939,AlphaGraphics Stamford,LocationExtension,25380099,ADWORDS_FRONTEND,(888) 496-5998,"47 West Main Street, Stamford, CT, US, 06902",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Stamford,73842939,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 496-5998,true,MobileExtension,US,39035859,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Stamford,73843059,AlphaGraphics Stamford,LocationExtension,25380099,ADWORDS_FRONTEND,(888) 496-5998,"47 West Main Street, Stamford, CT, US, 06902",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Stamford,73843059,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 496-5998,true,MobileExtension,US,39035859,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Greeley,95841005,AlphaGraphics Greeley,LocationExtension,88416965,ADWORDS_FRONTEND,(888) 897-4880,"4320 9th St Rd, Greeley, CO, US, 80634",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Greeley,95841005,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 897-4880,false,MobileExtension,US,88417085,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Greeley,95841005,AlphaGraphics Greeley,LocationExtension,90897725,ADWORDS_FRONTEND,(888) 897-4880,"4320 9th Street Rd, Greeley, CO, US, 80634",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Greeley,95841005,AlphaGraphics Greeley,LocationExtension,90899165,ADWORDS_FRONTEND,(888) 897-4880,"4320 W. 9th Street Rd, Greeley, CO, US, 80634",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Greeley,95841125,AlphaGraphics Greeley,LocationExtension,88416965,ADWORDS_FRONTEND,(888) 897-4880,"4320 9th St Rd, Greeley, CO, US, 80634",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Greeley,95841125,N/A,MobileExtension,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MobileExtension,(888) 897-4880,false,MobileExtension,US,88417085,N/A,N/A,MobileExtension,ALL,CampaignAdExtensionStats
Greeley,95841125,AlphaGraphics Greeley,LocationExtension,90897725,ADWORDS_FRONTEND,(888) 897-4880,"4320 9th Street Rd, Greeley, CO, US, 80634",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
Greeley,95841125,AlphaGraphics Greeley,LocationExtension,90899165,ADWORDS_FRONTEND,(888) 897-4880,"4320 W. 9th Street Rd, Greeley, CO, US, 80634",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
,83499585,AlphaGraphics South Bend,LocationExtension,162736425,ADWORDS_FRONTEND,(888) 477-5834,"201 N. Main Street, South Bend, IN, US, 46601",1000,N/A,N/A,N/A,N/A,LocationExtension,N/A,N/A,LocationExtension,N/A,N/A,N/A,N/A,LocationExtension,ALL,CampaignAdExtensionStats
